Category,debit,credit
"[""Bank Fees""]",52700,0
"[""Bank Fees"", ""Overdraft""]",52700,0
"[""Bank Fees"", ""ATM""]",52700,0
"[""Bank Fees"", ""Late Payment""]",52700,0
"[""Bank Fees"", ""Fraud Dispute""]",52700,0
"[""Bank Fees"", ""Foreign Transaction""]",52700,0
"[""Bank Fees"", ""Wire Transfer""]",52700,0
"[""Bank Fees"", ""Insufficient Funds""]",52700,0
"[""Bank Fees"", ""Cash Advance""]",52700,0
"[""Bank Fees"", ""Excess Activity""]",52700,0
"[""Cash Advance""]",11100,0
"[""Community"", ""Day Care and Preschools""]",54500,0
"[""Community"", ""Education""]",53100,0
"[""Community"", ""Education"", ""Vocational Schools""]",53100,0
"[""Community"", ""Education"", ""Tutoring and Educational Services""]",53100,0
"[""Community"", ""Education"", ""Primary and Secondary Schools""]",53100,0
"[""Community"", ""Education"", ""Fraternities and Sororities""]",53100,0
"[""Community"", ""Education"", ""Driving Schools""]",53100,0
"[""Community"", ""Education"", ""Dance Schools""]",53100,0
"[""Community"", ""Education"", ""Culinary Lessons and Schools""]",53100,0
"[""Community"", ""Education"", ""Computer Training""]",53100,0
"[""Community"", ""Education"", ""Colleges and Universities""]",53100,0
"[""Community"", ""Education"", ""Art School""]",53100,0
"[""Community"", ""Education"", ""Adult Education""]",53100,0
"[""Community"", ""Government Departments and Agencies""]",52900,0
"[""Community"", ""Organizations and Associations""]",54800,0
"[""Community"", ""Organizations and Associations"", ""Youth Organizations""]",54800,0
"[""Community"", ""Organizations and Associations"", ""Environmental""]",54800,0
"[""Community"", ""Organizations and Associations"", ""Charities and Non-Profits""]",54800,0
"[""Community"", ""Post Offices""]",52900,0
"[""Community"", ""Public and Social Services""]",52900,0
"[""Community"", ""Religious""]",54800,0
"[""Community"", ""Religious"", ""Temple""]",54800,0
"[""Community"", ""Religious"", ""Synagogues""]",54800,0
"[""Community"", ""Religious"", ""Mosques""]",54800,0
"[""Community"", ""Religious"", ""Churches""]",54800,0
"[""Food and Drink""]",54100,0
"[""Food and Drink"", ""Bar""]",54100,0
"[""Food and Drink"", ""Bar"", ""Wine Bar""]",54100,0
"[""Food and Drink"", ""Bar"", ""Sports Bar""]",54100,0
"[""Food and Drink"", ""Bar"", ""Hotel Lounge""]",54100,0
